Building DAG of jobs...
Using shell: /usr/bin/bash
Provided cores: 8
Rules claiming more threads will be scaled down.
Job counts:
	count	jobs
	1	gatk_asereadcounter
	1

[Tue Jun 20 20:34:53 2023]
rule gatk_asereadcounter:
    input: /scratch/eknodel/SCC_samples/Progeny/RNAseq/sorted_bam/483_sc_01_B6-2_354_223_S59_L003_RNA_HISAT2_genome_aligned_sortedbycoord_mkdup_RG.bam, /scratch/eknodel/SCC_samples/Progeny/VEP/DNA_483-SC-01-B6_9-3-21_133_060_S138_L002_gatk_vep_filtered_biall.vcf, /scratch/eknodel/SCC_samples/Progeny/VEP/DNA_483-SC-01-B6_9-3-21_133_060_S138_L002_gatk_vep_unfiltered_biall.vcf, /scratch/eknodel/SCC_samples/Progeny/VEP/DNA_483-SC-01-B6_9-3-21_133_060_S138_L002_gatk_vep_filtered_biall.vcf.idx, /scratch/eknodel/SCC_samples/Progeny/VEP/DNA_483-SC-01-B6_9-3-21_133_060_S138_L002_gatk_vep_unfiltered_biall.vcf.idx
    output: /scratch/eknodel/SCC_samples/Progeny/RNAseq/variant_specific_expression/483_sc_01_B6-2_354_223_S59_L003_gatk_filtered_expression.tsv, /scratch/eknodel/SCC_samples/Progeny/RNAseq/variant_specific_expression/483_sc_01_B6-2_354_223_S59_L003_gatk_unfiltered_expression.tsv
    jobid: 0
    wildcards: RNA=483_sc_01_B6-2_354_223_S59_L003

20:34:55.312 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/eknodel/gatk-4.1.7.0/gatk-package-4.1.7.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
Jun 20, 2023 8:34:55 PM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
20:34:55.616 INFO  ASEReadCounter - ------------------------------------------------------------
20:34:55.617 INFO  ASEReadCounter - The Genome Analysis Toolkit (GATK) v4.1.7.0
20:34:55.617 INFO  ASEReadCounter - For support and documentation go to https://software.broadinstitute.org/gatk/
20:34:55.617 INFO  ASEReadCounter - Executing as eknodel@cg22-1.agave.rc.asu.edu on Linux v3.10.0-1160.21.1.el7.x86_64 amd64
20:34:55.617 INFO  ASEReadCounter - Java runtime: OpenJDK 64-Bit Server VM v11.0.1-internal+0-adhoc..src
20:34:55.617 INFO  ASEReadCounter - Start Date/Time: June 20, 2023 at 8:34:55 PM MST
20:34:55.618 INFO  ASEReadCounter - ------------------------------------------------------------
20:34:55.618 INFO  ASEReadCounter - ------------------------------------------------------------
20:34:55.619 INFO  ASEReadCounter - HTSJDK Version: 2.21.2
20:34:55.619 INFO  ASEReadCounter - Picard Version: 2.21.9
20:34:55.619 INFO  ASEReadCounter - HTSJDK Defaults.COMPRESSION_LEVEL : 2
20:34:55.619 INFO  ASEReadCounter - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
20:34:55.619 INFO  ASEReadCounter - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
20:34:55.619 INFO  ASEReadCounter - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
20:34:55.620 INFO  ASEReadCounter - Deflater: IntelDeflater
20:34:55.620 INFO  ASEReadCounter - Inflater: IntelInflater
20:34:55.620 INFO  ASEReadCounter - GCS max retries/reopens: 20
20:34:55.620 INFO  ASEReadCounter - Requester pays: disabled
20:34:55.620 INFO  ASEReadCounter - Initializing engine
20:34:56.365 INFO  FeatureManager - Using codec VCFCodec to read file file:///scratch/eknodel/SCC_samples/Progeny/VEP/DNA_483-SC-01-B6_9-3-21_133_060_S138_L002_gatk_vep_filtered_biall.vcf
20:34:56.416 INFO  ASEReadCounter - Done initializing engine
20:34:56.417 INFO  ProgressMeter - Starting traversal
20:34:56.418 INFO  ProgressMeter -        Current Locus  Elapsed Minutes        Loci Processed      Loci/Minute
20:35:10.030 INFO  ProgressMeter -           1:24614756              0.2                464000        2046005.7
20:35:20.039 INFO  ProgressMeter -           1:40277410              0.4                921000        2339641.8
20:35:30.050 INFO  ProgressMeter -           1:59650095              0.6               1633000        2913383.5
20:35:40.088 INFO  ProgressMeter -           1:69538173              0.7               2037000        2798717.7
20:35:50.864 INFO  ProgressMeter -           1:86357216              0.9               2637000        2906105.4
20:36:00.863 INFO  ProgressMeter -          1:127485501              1.1               3562000        3316367.7
20:36:10.872 INFO  ProgressMeter -          1:155192383              1.2               4664000        3758612.8
20:36:21.105 INFO  ProgressMeter -          1:168431446              1.4               5390000        3818858.1
20:36:31.115 INFO  ProgressMeter -          1:180805549              1.6               6045000        3830191.7
20:36:41.116 INFO  ProgressMeter -           10:8747517              1.7               7062000        4047146.0
20:36:51.192 INFO  ProgressMeter -          10:45115192              1.9               8080000        4223990.0
20:37:01.196 INFO  ProgressMeter -          10:76777222              2.1               9069000        4360864.9
20:37:11.199 INFO  ProgressMeter -          10:96028554              2.2              10363000        4613295.7
20:37:21.201 INFO  ProgressMeter -         10:128355567              2.4              11393000        4721443.3
20:37:31.202 INFO  ProgressMeter -          11:17207477              2.6              12264000        4754010.5
20:37:41.216 INFO  ProgressMeter -          11:31673701              2.7              12917000        4702876.9
20:37:51.234 INFO  ProgressMeter -          11:50083592              2.9              13482000        4627291.7
20:38:01.238 INFO  ProgressMeter -          11:60467935              3.1              14438000        4687180.4
20:38:11.242 INFO  ProgressMeter -          11:75410669              3.2              15650000        4819734.7
20:38:21.245 INFO  ProgressMeter -          11:86087329              3.4              16793000        4919199.7
20:38:31.766 INFO  ProgressMeter -          11:97778423              3.6              17822000        4965567.2
20:38:41.773 INFO  ProgressMeter -         11:105221625              3.8              18734000        4987885.7
20:38:51.797 INFO  ProgressMeter -         11:115942279              3.9              19391000        4942942.8
20:39:01.812 INFO  ProgressMeter -           12:8498739              4.1              20411000        4990606.9
20:39:11.832 INFO  ProgressMeter -          12:51608722              4.3              21272000        4997063.6
20:39:21.878 INFO  ProgressMeter -          12:75595843              4.4              22178000        5012732.6
20:39:31.880 INFO  ProgressMeter -         12:101940107              4.6              23335000        5082752.2
20:39:41.934 INFO  ProgressMeter -           13:3565360              4.8              24121000        5068927.8
20:39:51.937 INFO  ProgressMeter -          13:34611203              4.9              25037000        5083345.2
20:40:01.939 INFO  ProgressMeter -          13:56074571              5.1              26035000        5112939.0
20:40:11.949 INFO  ProgressMeter -          13:81796622              5.3              27117000        5156466.9
20:40:21.952 INFO  ProgressMeter -         13:101743341              5.4              27891000        5140677.0
20:40:31.973 INFO  ProgressMeter -          14:16421561              5.6              28755000        5141692.3
20:40:42.291 INFO  ProgressMeter -          14:31107947              5.8              29405000        5101034.8
20:40:52.295 INFO  ProgressMeter -          14:56673959              5.9              30378000        5121671.6
20:41:02.319 INFO  ProgressMeter -          14:76374663              6.1              31201000        5116315.9
20:41:12.326 INFO  ProgressMeter -         14:121236336              6.3              31735000        5065348.6
20:41:22.333 INFO  ProgressMeter -          15:12926159              6.4              32542000        5059469.2
20:41:32.431 INFO  ProgressMeter -          15:36599130              6.6              33103000        5015454.1
20:41:42.454 INFO  ProgressMeter -          15:51977880              6.8              33565000        4959905.0
20:41:52.557 INFO  ProgressMeter -          15:75044106              6.9              34393000        4958883.8
20:42:02.558 INFO  ProgressMeter -          15:79907885              7.1              35110000        4943457.4
20:42:12.620 INFO  ProgressMeter -          15:90634748              7.3              36045000        4958024.0
20:42:22.621 INFO  ProgressMeter -         15:102194931              7.4              37084000        4986620.4
20:42:32.623 INFO  ProgressMeter -          16:17315614              7.6              38177000        5021032.2
20:42:42.630 INFO  ProgressMeter -          16:32632408              7.8              39044000        5024849.3
20:42:52.639 INFO  ProgressMeter -          16:76287438              7.9              40188000        5063374.1
20:43:02.704 INFO  ProgressMeter -           17:6169678              8.1              41124000        5074061.5
